shell_script,pattern_type,object_type,schema,object_name,sub_object,is_parameterized,param_position,table_references,static_sql,remote_script,notes
edw_grp_offset3_fullload.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_FULLLOAD_OFFSETS,PRC_FULLLOAD_FCT_CLAIMPMNT_DET_OFFSET3_R,False,,FCT_CLAIM_PAYMENT_DETAIL_OFFSETS_R,,,This shell script truncates and reloads the table FCT_CLAIM_PAYMENT_DETAIL_OFFSETS_R
edw_grp_pacs_del_fct_claim_det_benefit_pmnt.sh,DELETE_FROM,TABLE,ATOMIC,FCT_CLAIM_PAYMENT_DETAIL_BENEFIT_PAYMENT_R,DELETE,False,,,,,This shell script performs the below steps Deletes only PACS data from the reporting table FCT_CLAIM_PAYMENT_DETAIL_BENEFIT_PAYMENT_R
edw_grp_pacs_del_fct_claim_det_gross_benefit.sh,DELETE_FROM,TABLE,ATOMIC,FCT_CLAIM_PAYMENT_DETAIL_GROSS_BENEFIT_R,DELETE,False,,,,,This shell script performs the below steps Deletes only PACS  data from the reporting table FCT_CLAIM_PAYMENT_DETAIL_GROSS_BENEFIT_R
edw_grp_pacs_load_dim_grp_claim_detail_subgroup_lookup.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_LOAD_GRP_TABLES,PRC_LOAD_DIM_GRP_CLAIM_DETAIL_SUBGROUP_LOOKUP,False,,,,,
edw_grp_pacs_load_fct_grp_policy_pbc_team_lookup.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_LOAD_GRP_TABLES,PRC_LOAD_FCT_GRP_POLICY_R_PBC_TEAM_LOOKUP,False,,,,,
edw_grp_pacs_load_fct_grp_policy_r_uw_needed.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_LOAD_GRP_TABLES,PRC_LOAD_FCT_GRP_POLICY_R_UW_NEEDED,False,,,,,
edw_grp_pacs_load_stg_claim_payment_detail_benefit_payment_r.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_LOAD_FCT_CLAIM_PAYMENT_DETAIL_R,PRC_LOAD_FCT_CLAIM_PMT_DET_R,False,,,,,
edw_grp_pacs_load_stg_claim_payment_detail_gross_benefit_r.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_LOAD_FCT_CLAIM_PAYMENT_DETAIL_R,PRC_LOAD_FCT_CLAIM_PMT_DET_R,False,,,,,
edw_grp_portal_mv_refresh.sh,MV_REFRESH_WITH_TRUNCATE,MATERIALIZED_VIEW,,(from TIDAL param $1),DBMS_MVIEW.REFRESH,True,$1,,,,This shell script refresh the PORTAL MATERIALIZED VIEWS used in Web Portal Packages/MV's.
edw_grp_purge_log_audit_tbls.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_PURGE,MAIN,False,,,,,"This shell script deletes given days back data from the sysdate in the given table
Change log:"
