shell_script,pattern_type,object_type,schema,object_name,sub_object,is_parameterized,param_position,table_references,static_sql,remote_script,notes
edw_grp_vue_load_fct_grp_policy_pbc_team_lookup.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_LOAD_GRP_TABLES,PRC_LOAD_FCT_GRP_POLICY_R_PBC_TEAM_LOOKUP,False,,,,,
edw_grp_vue_load_fct_rpt_eoi_history_r.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_LOAD_FCT_RPT_EOI_HISTORY_R,PRC_GRP_LOAD_FCT_RPT_EOI_HISTORY_R,False,,FCT_RPT_EOI_HISTORY_R,,,"This shell script performs the below steps after accepting the batchid,loadrunid,type as a parameter: a) Calls procedure  PKG_GRP_LOAD_FCT_RPT_EOI_HISTORY_R.PRC_GRP_LOAD_FCT_RPT_EOI_HISTORY_R to reload data in  FCT_RPT_EOI_HISTORY_R"
edw_grp_vue_load_vue_fct_grp_policy_r.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_LOAD_GRP_TABLES,PRC_LOAD_VUE_FCT_GRP_POLICY_R,False,,,,,
edw_grp_vue_truncate_fct_rpt_eoi_history_r.sh,TRUNCATE_TABLE,TABLE,ATOMIC,FCT_RPT_EOI_HISTORY_R,TRUNCATE,False,,,,,This shell script truncates the table fct_rpt_eoi_history_r
edw_pacs_grp_load_fct_claim_payment_detail_r_adjustment.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_FULLLOAD_FCT_CLAIM_PAYMENT_DETAIL_R,PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R,False,,FCT_CLAIM_PAYMENT_DETAIL_ADJUSTMENT_R; IN_TYPE:ADJUSTMENT,,,"This shell script performs the below steps after accepting the batchid,loadrunid,type as a parameter: a) Calls procedure PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R to reload requested ADJUSTMENT data in the FCT_CLAIM_PAYMENT_DETAIL_ADJUSTMENT_R"
edw_pacs_grp_load_fct_claim_payment_detail_r_benefit_payment.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_FULLLOAD_FCT_CLAIM_PAYMENT_DETAIL_R,PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R,False,,FCT_CLAIM_PAYMENT_DETAIL_BENEFIT_PAYMENT_R; IN_TYPE:BENEFIT_PAYMENT,,,"This shell script performs the below steps after accepting the batchid,loadrunid,type as a parameter: a) Calls procedure PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R to reload requested BENEFIT_BENEFIT data in the  FCT_CLAIM_PAYMENT_DETAIL_BENEFIT_PAYMENT_R"
edw_pacs_grp_load_fct_claim_payment_detail_r_disbursement.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_FULLLOAD_FCT_CLAIM_PAYMENT_DETAIL_R,PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R,False,,FCT_CLAIM_PAYMENT_DETAIL_DISBURSEMENT_R; IN_TYPE:DISBURSEMENT,,,"This shell script performs the below steps after accepting the batchid,loadrunid,type as a parameter: a) Calls procedure PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R to reload requested DISBURSEMENT(REDIRECT) data in the  #                                 FCT_CLAIM_PAYMENT_DETAIL_DISBURSEMENT_R"
edw_pacs_grp_load_fct_claim_payment_detail_r_expense.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_FULLLOAD_FCT_CLAIM_PAYMENT_DETAIL_R,PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R,False,,FCT_CLAIM_PAYMENT_DETAIL_EXPENSE_R; IN_TYPE:EXPENSE,,,"This shell script performs the below steps after accepting the batchid,loadrunid,type as a parameter: a) Calls procedure PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R to reload requested EXPENSE data in the  FCT_CLAIM_PAYMENT_DETAIL_EXPENSE_R"
edw_pacs_grp_load_fct_claim_payment_detail_r_expense_old.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_FULLLOAD_FCT_CLAIM_PAYMENT_DETAIL_R_TEST,PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R,False,,FCT_CLAIM_PAYMENT_DETAIL_R_TEST; IN_TYPE:EXPENSE,,,"This shell script performs the below steps after accepting the batchid,loadrunif,type as a parameter:  a) Calls procedure PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R to reload requested EXPENSE data in the FCT_CLAIM_PAYMENT_DETAIL_R"
edw_pacs_grp_load_fct_claim_payment_detail_r_expense_pacs.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_FULLLOAD_FCT_CLAIM_PAYMENT_DETAIL_R,PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R,False,,FCT_CLAIM_PAYMENT_DETAIL_EXPENSE_R; IN_TYPE:PACS_EXPENSE,,,"This shell script performs the below steps after accepting the batchid,loadrunid,type as a parameter: a) Calls procedure PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R to reload requested EXPENSE data in the FCT_CLAIM_PAYMENT_DETAIL_EXPENSE_R"
edw_pacs_grp_load_fct_claim_payment_detail_r_gross_benefit.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_GRP_FULLLOAD_FCT_CLAIM_PAYMENT_DETAIL_R,PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R,False,,FCT_CLAIM_PAYMENT_DETAIL_GROSS_BENEFIT_R; IN_TYPE:GROSS_BENEFIT,,,"This shell script performs the below steps after accepting the batchid,loadrunid,type as a parameter: a) Calls procedure PRC_FULLLOAD_FCT_CLAIM_PMT_DET_R to reload requested GROSS_BENEFIT data in the  FCT_CLAIM_PAYMENT_DETAIL_GROSS_BENEFIT_R"
edw_prc_purge_dropped_tables.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_PURGE_DROPPED_TABLES,,False,,,,,This shell script calls the package PRC_PURGE_DROPPED_TABLES.
edw_run_backup_cleanup.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_BACKUP_TBL_OPS,PRC_PURGE_EXPIRED_BACKUP_TABLES_R,False,,,,,
edw_shinka_cv_del_fct_claim_det_benefit_pmnt.sh,DELETE_FROM,TABLE,ATOMIC,FCT_CLAIM_PAYMENT_DETAIL_BENEFIT_PAYMENT_R,DELETE,False,,,,,This shell script performs the below steps Deletes only CV data from the reporting table FCT_CLAIM_PAYMENT_DETAIL_BENEFIT_PAYMENT_R
edw_shinka_cv_del_fct_claim_det_gross_benefit.sh,DELETE_FROM,TABLE,ATOMIC,FCT_CLAIM_PAYMENT_DETAIL_GROSS_BENEFIT_R,DELETE,False,,,,,This shell script performs the below steps Deletes only CV data from the reporting table FCT_CLAIM_PAYMENT_DETAIL_GROSS_BENEFIT_R
edw_shinka_cv_load_dim_grp_claim_dtl_subgrp_lkp.sh,DIRECT_PKG_PROC_CALL,PACKAGE,ATOMIC,PKG_LOAD_GRP_TABLES,PRC_LOAD_DIM_GRP_CLAIM_DETAIL_SUBGROUP_LOOKUP_CV,False,,DIM_GRP_CLAIM_DETAIL_SUBGROUP_LOOKUP,,,This shell script inserts data in the table DIM_GRP_CLAIM_DETAIL_SUBGROUP_LOOKUP
edw_shinka_upd_cv_partysk_fct_claim_pmnt_dtl_benefit_pmnt_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_SHIKA_UPD_CV_PARTYSK_FCT_CLAIM_PMNT_DTL_BENEFIT_PMNT_R,,False,,,,,This shell script calls the Procedure PRC_SHIKA_UPD_CV_PARTYSK_FCT_CLAIM_PMNT_DTL_BENEFIT_PMNT_R.
edw_shinka_upd_cv_partysk_fct_claim_pmnt_dtl_gross_benefit_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_SHIKA_UPD_CV_PARTYSK_FCT_CLAIM_PMNT_DTL_GROSS_BENEFIT_R,,False,,,,,This shell script calls the Procedure PRC_SHIKA_UPD_CV_PARTYSK_FCT_CLAIM_PMNT_DTL_GROSS_BENEFIT_R.
edw_shinka_upd_cv_payeename_fct_claim_pmnt_dtl_benefit_pmnt_r.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_GRP_UPD_CV_PAYEE_NAME_FCT_CLAIM_PMNT_DTL_BENEFIT_PMNT_R,,False,,,,,This shell script calls the Procedure PRC_GRP_UPD_CV_PAYEE_NAME_FCT_CLAIM_PMNT_DTL_BENEFIT_PMNT_R.
prc_delete_insert_vw_fct_claim_payment_detail_r_mv_ssl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_DELETE_INSERT_VW_FCT_CLAIM_PAYMENT_DETAIL_R_MV_SSL,,False,,,,,This shell script performs the below steps below Deletes data from fct_claim_payment_detail_r_mv based on date   Inserts data from above tables based on the same date
prc_drop_create_fct_grp_policy_r_ltdpolind_mv_ssl.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PRC_DROP_CREATE_FCT_GRP_POLICY_R_LTDPOLIND_MV_SSL,,False,,,,,This shell script performs the below steps below Drops fct_grp_policy_r_ltdpolind_mv_ssl Creates fct_grp_policy_r_ltdpolind_mv_ssl
PROC_ADD_NEXT_YEAR_PARTITIONS.sh,DIRECT_PROC_CALL,PROCEDURE,ATOMIC,PROC_ADD_NEXT_YEAR_PARTITIONS,,False,,,,,This shell script refresh the SSL MATERIALIZED VIEWS used in SelfService Packages.
RPT_CLAIMS_RESERVE_KPI_DTL_R.sh,EXECUTE_IMMEDIATE_DYNAMIC,PACKAGE,ATOMIC,$v_pkg_name_r (from TIDAL param $1),main,True,$1,,,,"This shell script is for loading RPT_CLAIMS_RESERVE_KPI_DTL_R
Change log:"
shinka_cv_harm_to_stg_tidal.sh,SSH_REMOTE,REMOTE_SCRIPT,,cv_harm_to_stg_bds.sh,,True,"$1,$2,...",,,/u01/app/oracle/tools/home/oracle/bin/tidal/datalake/group/cv_harm_to_stg_bds.sh,
shinka_eis_control_to_stg_tidal.sh,SSH_REMOTE,REMOTE_SCRIPT,,eis_todate_fileload_to_stg_bds.sh,,True,"$1,$2,...",,,/u01/app/oracle/tools/home/oracle/bin/tidal/datalake/group/eis_todate_fileload_to_stg_bds.sh,
shinka_eis_source_to_landing_controls_tidal.sh,SSH_REMOTE,REMOTE_SCRIPT,,eis_source_to_landing_controls_load_edw.sh,,True,"$1,$2,...",,,/u01/app/oracle/tools/home/oracle/bin/tidal/datalake/group/eis_source_to_landing_controls_load_edw.sh,
test.sh,NO_SQL,NO_SQL,,,,False,,,,,No recognized SQL pattern. Desc: . DB objects: 
